"year","sex","age","height","weight","bmi","education","citizenship","country"
1954,1,15,168.13,62.17,21.99,"Secondary","ES citizen","ES"
1961,0,64,167.23,75.18,26.88,"Higher","ES citizen","ES"
2015,0,45,167.06,94.15,33.73,"Only secondary","ES citizen","ES"
1992,1,35,171.96,65.23,22.06,"Only kindergarten","ES citizen","ES"
1972,1,34,177.26,70.51,22.44,"Higher","ES citizen","ES"
1940,1,24,169.01,78.97,27.65,"Only secondary","ES citizen","ES"
1978,0,10,158.02,70.32,28.16,"Primary","ES citizen","ES"
1932,0,18,156.77,94,38.25,"None","ES citizen","ES"
1951,0,62,153.49,97.44,41.36,"Higher","ES citizen","ES"
1941,0,35,158.46,85.41,34.01,"Higher","ES citizen","ES"
1950,0,51,168.2,76.38,27,"Only secondary","non-ES citizen","ES"
1999,0,82,168.66,70.88,24.92,"Higher","ES citizen","ES"
1948,1,78,162.9,70.77,26.67,"Only primary","ES citizen","ES"
1952,0,75,151.49,75.17,32.75,"Only primary","ES citizen","ES"
1969,1,79,162.87,73.53,27.72,"Only primary","ES citizen","ES"
2000,0,38,159.18,69.48,27.42,"Only primary","ES citizen","ES"
1997,1,68,175.45,54.95,17.85,"Only secondary","ES citizen","ES"
1971,0,7,171.62,69.36,23.55,"Primary","ES citizen","ES"
1990,0,26,159.06,84.19,33.28,"Higher","ES citizen","ES"
1963,0,91,156.08,83.88,34.43,"Higher","ES citizen","ES"
2022,1,22,177.39,68.64,21.81,"Only secondary","ES citizen","ES"
2016,0,35,160.37,89.99,34.99,"Higher","ES citizen","ES"
1981,1,21,182.93,59.9,17.9,"Only kindergarten","non-ES citizen","ES"
1988,0,23,157.3,76,30.72,"Higher","non-ES citizen","ES"
1990,0,73,155.56,85.13,35.18,"Higher","ES citizen","ES"
1980,1,22,182.29,55.75,16.78,"Higher","ES citizen","ES"
1927,1,50,177.24,72.24,23,"Only kindergarten","ES citizen","ES"
2014,0,32,157.16,77.46,31.36,"Higher","ES citizen","ES"
1975,1,82,163.13,70.37,26.44,"Higher","ES citizen","ES"
1995,0,18,155.32,84.07,34.85,"Secondary","ES citizen","ES"
1949,0,26,168.55,64.76,22.8,"Higher","ES citizen","ES"
1989,0,52,157.36,74.82,30.22,"Only secondary","ES citizen","ES"
2015,0,13,169.3,83.95,29.29,"Secondary","ES citizen","ES"
1972,0,8,157.13,80.26,32.51,"Primary","ES citizen","ES"
1950,0,95,152.51,63.57,27.33,"Only secondary","ES citizen","ES"
1955,1,51,178.14,71.07,22.4,"Only secondary","ES citizen","ES"
1994,1,81,176.78,91.97,29.43,"Only kindergarten","ES citizen","ES"
1973,0,53,153.94,89.3,37.68,"Only primary","ES citizen","ES"
2020,1,35,171.38,52.13,17.75,"Only secondary","ES citizen","ES"
2018,0,79,158.69,67.51,26.81,"Higher","ES citizen","ES"
1980,1,49,161.1,78.24,30.15,"Higher","ES citizen","ES"
1929,1,8,173.03,51.46,17.19,"Primary","ES citizen","ES"
1987,1,74,183.08,71.12,21.22,"Only secondary","ES citizen","ES"
1988,0,1,158.05,73.32,29.35,"None","ES citizen","ES"
1991,1,64,167.68,75.85,26.98,"Higher","ES citizen","ES"
1958,0,28,170.18,71.47,24.68,"Only secondary","ES citizen","ES"
1974,1,75,181.73,79.28,24.01,"Higher","ES citizen","ES"
1961,0,65,164.68,81.96,30.22,"Higher","ES citizen","ES"
1933,0,27,165.41,87.75,32.07,"Only kindergarten","ES citizen","ES"
1954,1,64,170.49,45.36,15.61,"Only primary","ES citizen","ES"
1927,1,16,164.83,77.87,28.66,"Secondary","non-ES citizen","ES"
1986,0,33,153.31,74.32,31.62,"Only kindergarten","ES citizen","ES"
2006,1,13,188.21,45.78,12.92,"Secondary","ES citizen","ES"
1936,1,60,173.52,63.28,21.02,"Only primary","ES citizen","ES"
1960,1,72,169.5,70.88,24.67,"Only secondary","ES citizen","ES"
1956,1,63,167.53,65.42,23.31,"Higher","ES citizen","ES"
1984,0,31,164.59,86.67,31.99,"Higher","ES citizen","ES"
1936,0,75,156.93,83.21,33.79,"Only primary","ES citizen","ES"
2021,0,26,167.44,84.9,30.28,"Only secondary","ES citizen","ES"
1970,1,10,173.18,58.23,19.42,"Primary","ES citizen","ES"
1934,0,6,159.64,66.7,26.17,"Primary","ES citizen","ES"
1929,0,32,151.19,79.07,34.59,"Only secondary","ES citizen","ES"
1958,0,43,155.99,70.74,29.07,"Only secondary","non-ES citizen","ES"
1989,0,61,156.84,83.64,34,"Only secondary","ES citizen","ES"
1963,0,27,169.23,69.06,24.11,"Only primary","ES citizen","ES"
1999,1,44,161.94,90.62,34.56,"Higher","non-ES citizen","ES"
1949,1,34,172.74,63.18,21.17,"Higher","ES citizen","ES"
1960,0,26,155.68,71.84,29.64,"Only primary","ES citizen","ES"
1936,1,82,169.2,57.66,20.14,"Higher","ES citizen","ES"
1982,0,64,151.14,68.42,29.95,"Only primary","ES citizen","ES"
1954,0,74,151.81,86.12,37.37,"Only secondary","ES citizen","ES"
2019,1,43,162.97,57.27,21.56,"Only kindergarten","ES citizen","ES"
1962,1,41,170.11,61.27,21.17,"Only kindergarten","ES citizen","ES"
1951,1,40,170.22,57.84,19.96,"Higher","ES citizen","ES"
1953,0,94,154.1,96.89,40.8,"Only secondary","ES citizen","ES"
2001,1,46,177.06,72.55,23.14,"Higher","ES citizen","ES"
1939,0,7,164.78,82.28,30.3,"Primary","ES citizen","ES"
2004,1,42,177.18,60.42,19.25,"Only secondary","ES citizen","ES"
2002,1,73,172.5,69.17,23.25,"Higher","ES citizen","ES"
2016,1,71,180.3,64.54,19.85,"Higher","ES citizen","ES"
1962,0,29,170.22,79.04,27.28,"Only primary","ES citizen","ES"
2011,1,72,172.92,64.98,21.73,"Higher","ES citizen","ES"
2001,0,46,165.93,77.86,28.28,"Only secondary","non-ES citizen","ES"
1927,0,70,153.27,80.74,34.37,"Higher","ES citizen","ES"
1940,0,97,169.26,84.16,29.38,"Only primary","ES citizen","ES"
2018,1,97,175.39,62,20.15,"Only secondary","non-ES citizen","ES"
2013,0,64,158.56,81.24,32.31,"Only secondary","ES citizen","ES"
1974,1,80,173.47,62.39,20.73,"Only primary","ES citizen","ES"
1985,1,38,175.71,63.53,20.58,"Only primary","ES citizen","ES"
1936,1,91,165.4,63.69,23.28,"Only secondary","non-ES citizen","ES"
1954,0,10,167.58,79.75,28.4,"Primary","ES citizen","ES"
1984,0,36,154.54,100.44,42.06,"Only secondary","ES citizen","ES"
1943,1,1,180.16,71.22,21.94,"None","ES citizen","ES"
1992,0,72,150.44,85.31,37.69,"Higher","ES citizen","ES"
1944,0,72,166.23,73.51,26.6,"Higher","ES citizen","ES"
2003,1,17,171,75.04,25.66,"Secondary","ES citizen","ES"
1941,1,36,180.61,59.63,18.28,"Higher","ES citizen","ES"
2022,1,66,174.03,54.55,18.01,"Higher","ES citizen","ES"
1996,0,54,162.63,77.75,29.4,"Only primary","ES citizen","ES"
1953,1,18,166.13,57.69,20.9,"Secondary","ES citizen","ES"
1982,0,37,165.15,67.39,24.71,"Only secondary","ES citizen","ES"
1929,1,83,174.94,61.96,20.25,"Higher","ES citizen","ES"
1995,0,37,168.88,78.33,27.46,"Higher","ES citizen","ES"
1940,0,44,165.07,61.68,22.64,"Only primary","ES citizen","ES"
1960,0,15,166.32,74.12,26.79,"None","ES citizen","ES"
1965,0,31,161.77,71.73,27.41,"Higher","ES citizen","ES"
1954,0,46,171.44,81.17,27.62,"Only secondary","ES citizen","ES"
1971,0,1,163.43,51.67,19.35,"None","ES citizen","ES"
1932,0,22,163.51,94.9,35.5,"Only secondary","non-ES citizen","ES"
1930,1,81,165.23,71.35,26.13,"Only primary","non-ES citizen","ES"
1980,0,31,152,74.86,32.4,"Higher","non-ES citizen","ES"
2011,1,97,176.09,66.07,21.31,"Only secondary","ES citizen","ES"
2025,0,42,165.78,86.95,31.64,"Higher","ES citizen","ES"
1944,0,8,173.5,83.94,27.88,"Primary","ES citizen","ES"
2021,1,28,169.15,69.48,24.28,"Higher","ES citizen","ES"
1934,1,3,176.92,67.08,21.43,"Kindergarten","non-ES citizen","ES"
2018,0,69,149.85,86.18,38.38,"Only secondary","ES citizen","ES"
1929,0,19,160.62,61.31,23.76,"Higher","non-ES citizen","ES"
1976,0,59,165.87,71.15,25.86,"Only secondary","non-ES citizen","ES"
1927,1,24,164.28,66.21,24.53,"Only secondary","non-ES citizen","ES"
1977,1,99,171.34,70.35,23.96,"Higher","ES citizen","ES"
1973,1,81,174.89,63.01,20.6,"Higher","non-ES citizen","ES"
1971,0,88,165.59,74.57,27.2,"Only primary","ES citizen","ES"
1956,1,42,169.18,66.11,23.1,"Only primary","ES citizen","ES"
1980,1,73,176.53,52.36,16.8,"Only secondary","ES citizen","ES"
1972,1,90,186.82,79.2,22.69,"Higher","ES citizen","ES"
1993,1,51,182.35,69.66,20.95,"Only kindergarten","ES citizen","ES"
2004,0,58,153.51,82.48,35,"Only kindergarten","ES citizen","ES"
1973,0,86,174.62,84,27.55,"Only kindergarten","ES citizen","ES"
1997,0,87,158.63,76.13,30.25,"Higher","non-ES citizen","ES"
1994,0,46,148.13,79.29,36.14,"Only primary","non-ES citizen","ES"
1952,0,73,163.01,68.17,25.65,"Only secondary","ES citizen","ES"
1975,1,1,172.08,65.02,21.96,"None","ES citizen","ES"
1944,0,42,157.41,68.74,27.74,"Higher","ES citizen","ES"
1980,0,2,146.9,82.77,38.36,"None","ES citizen","ES"
1959,0,3,168.49,68.16,24.01,"Kindergarten","non-ES citizen","ES"
1925,0,28,163.18,93.3,35.04,"Only secondary","ES citizen","ES"
1928,0,3,171.76,62.53,21.2,"Kindergarten","ES citizen","ES"
1988,0,45,156.35,97.82,40.02,"Higher","ES citizen","ES"
1938,1,27,170.1,56.82,19.64,"Higher","ES citizen","ES"
1998,0,1,171.87,87.22,29.53,"None","ES citizen","ES"
2001,0,34,163.6,65.81,24.59,"Only primary","ES citizen","ES"
1977,0,44,155.86,85.58,35.23,"Higher","ES citizen","ES"
2005,0,96,153.62,75.78,32.11,"Only secondary","ES citizen","ES"
1982,0,23,161.6,68.53,26.24,"Higher","ES citizen","ES"
1958,0,67,154.95,64.66,26.93,"Only secondary","non-ES citizen","ES"
1984,0,99,159.82,62.56,24.49,"Only secondary","ES citizen","ES"
2015,1,36,176.78,45.62,14.6,"Higher","ES citizen","ES"
1989,1,90,177.3,62.92,20.02,"Higher","ES citizen","ES"
1956,0,7,170.94,78.16,26.75,"Primary","non-ES citizen","ES"
1935,1,77,182.27,72.11,21.71,"Only secondary","ES citizen","ES"
2013,0,22,151.48,67.9,29.59,"Only secondary","ES citizen","ES"
2009,1,60,188.87,50.9,14.27,"Higher","ES citizen","ES"
1932,0,44,159.04,93.18,36.84,"Only secondary","ES citizen","ES"
2024,1,15,172.53,66.3,22.27,"Secondary","ES citizen","ES"
1997,1,98,167.15,55.4,19.83,"Higher","ES citizen","ES"
1971,0,35,162.52,67.73,25.64,"Only primary","ES citizen","ES"
1956,0,72,155.72,88.38,36.45,"Only primary","ES citizen","ES"
2007,0,45,151.96,77.79,33.69,"Only kindergarten","ES citizen","ES"
1999,0,75,160.22,85.83,33.44,"Only secondary","non-ES citizen","ES"
1925,0,81,158.56,83.19,33.09,"Only secondary","ES citizen","ES"
1928,1,60,172.02,63.71,21.53,"Only secondary","ES citizen","ES"
1954,0,31,168.43,79.51,28.03,"Only secondary","ES citizen","ES"
1971,0,61,153.91,84.74,35.77,"Higher","ES citizen","ES"
1959,0,8,163.76,76.25,28.43,"Primary","ES citizen","ES"
2010,1,49,161.13,75.14,28.94,"Higher","ES citizen","ES"
1965,0,90,147.94,73.92,33.77,"Only secondary","ES citizen","ES"
1999,0,8,175.07,63.08,20.58,"Primary","ES citizen","ES"
1935,0,12,159.71,86.96,34.09,"Secondary","ES citizen","ES"
1975,1,34,176.42,71.59,23,"Only kindergarten","ES citizen","ES"
2025,1,1,166.47,46.46,16.77,"None","ES citizen","ES"
1986,0,6,153.27,75.58,32.17,"Primary","ES citizen","ES"
2014,0,15,154.43,80.24,33.65,"Secondary","ES citizen","ES"
1975,0,68,172.29,62.42,21.03,"Only primary","ES citizen","ES"
2009,0,81,163.27,77.49,29.07,"Only secondary","ES citizen","ES"
1927,1,36,174.41,81.13,26.67,"Only secondary","ES citizen","ES"
1979,1,96,167.3,67.59,24.15,"Higher","ES citizen","ES"
1981,0,15,158.36,75.53,30.12,"Secondary","ES citizen","ES"
1933,1,97,178.28,69.51,21.87,"Higher","ES citizen","ES"
2017,1,26,170.38,49.06,16.9,"Only primary","ES citizen","ES"
1948,0,82,160.26,81.13,31.59,"Only kindergarten","ES citizen","ES"
1978,1,5,176.14,77.98,25.13,"None","ES citizen","ES"
2009,0,66,160.97,85.75,33.09,"Higher","ES citizen","ES"
1950,0,97,163.2,85.51,32.11,"Only secondary","ES citizen","ES"
1928,0,63,162.49,80.86,30.63,"Only secondary","ES citizen","ES"
2023,0,66,152.27,83.25,35.91,"Higher","ES citizen","ES"
1946,1,93,180.35,78.73,24.21,"Higher","ES citizen","ES"
1970,1,59,168.26,89.18,31.5,"Only primary","ES citizen","ES"
2018,0,73,159.28,54.04,21.3,"Higher","ES citizen","ES"
1995,0,77,151.37,96.91,42.29,"Only primary","ES citizen","ES"
1986,0,93,155.66,68.61,28.32,"Only secondary","ES citizen","ES"
2012,0,97,155.7,81.94,33.8,"Higher","ES citizen","ES"
2013,1,56,176.76,79.85,25.56,"Only kindergarten","non-ES citizen","ES"
2018,1,94,184.53,60.28,17.7,"Higher","ES citizen","ES"
2017,1,46,183.41,63.3,18.82,"Higher","ES citizen","ES"
1950,1,37,175.5,66.29,21.52,"Only primary","ES citizen","ES"
1964,0,11,157.06,76.11,30.85,"Primary","ES citizen","ES"
1980,0,31,174.26,82.16,27.06,"Only secondary","ES citizen","ES"
1999,1,28,174.3,65.74,21.64,"Higher","ES citizen","ES"
2015,1,82,184.85,62.97,18.43,"Higher","ES citizen","ES"
1967,0,95,154.02,70,29.51,"Only secondary","ES citizen","ES"
1997,0,64,158.38,63.46,25.3,"Higher","ES citizen","ES"
1991,0,31,164.86,67.39,24.8,"Higher","ES citizen","ES"
1954,1,11,164.94,83.82,30.81,"Primary","ES citizen","ES"
2008,1,95,176.32,51.86,16.68,"Only secondary","ES citizen","ES"
1945,0,20,152.64,75.75,32.51,"Higher","ES citizen","ES"
1957,0,93,167.01,87.03,31.2,"Only kindergarten","ES citizen","ES"
1981,0,40,156.79,81.68,33.23,"Higher","ES citizen","ES"
1945,1,86,181.74,75.78,22.94,"Only primary","ES citizen","ES"
1940,1,90,168.12,86.27,30.52,"Higher","non-ES citizen","ES"
2022,0,20,163.13,71.82,26.99,"Only kindergarten","ES citizen","ES"
1972,0,93,164.61,77.11,28.46,"Only kindergarten","ES citizen","ES"
1927,0,83,160.4,93.19,36.22,"Only primary","ES citizen","ES"
1957,0,52,170.26,78.97,27.24,"Only kindergarten","ES citizen","ES"
1997,0,41,142.29,70.63,34.89,"Higher","ES citizen","ES"
1976,1,67,177.31,84.89,27,"Only primary","ES citizen","ES"
1990,0,45,170.79,71.93,24.66,"Only secondary","ES citizen","ES"
2023,1,68,178.08,67.25,21.21,"Only secondary","ES citizen","ES"
1933,0,90,160.87,74.67,28.85,"Only secondary","ES citizen","ES"
1934,0,79,160.5,88.94,34.53,"Higher","non-ES citizen","ES"
1987,0,33,145.98,71.76,33.67,"Only primary","ES citizen","ES"
1992,0,68,149.68,83.9,37.45,"Only kindergarten","ES citizen","ES"
2023,1,7,178.36,77.12,24.24,"Primary","ES citizen","ES"
1954,1,78,177.56,65.58,20.8,"Only secondary","ES citizen","ES"
1961,1,24,164.59,68.99,25.47,"Only kindergarten","ES citizen","ES"
1935,1,52,177.48,57.6,18.29,"Higher","ES citizen","ES"
1938,0,43,156.65,75.62,30.82,"Higher","ES citizen","ES"
1982,1,47,173.98,73.46,24.27,"Higher","ES citizen","ES"
1978,1,54,169.97,60.03,20.78,"Higher","ES citizen","ES"
2012,0,98,171.74,71.95,24.39,"Higher","non-ES citizen","ES"
1956,1,71,170.42,59.7,20.56,"Only primary","ES citizen","ES"
1949,1,90,178.01,65.28,20.6,"Higher","ES citizen","ES"
1962,1,92,181.67,58.5,17.73,"Only primary","ES citizen","ES"
1994,0,22,158.26,75.87,30.29,"Higher","ES citizen","ES"
2009,1,81,174.84,74.74,24.45,"Higher","ES citizen","ES"
1982,1,17,156.47,75.69,30.92,"Secondary","ES citizen","ES"
1981,1,3,174.21,59.87,19.73,"Kindergarten","ES citizen","ES"
1988,0,39,160.01,78.44,30.64,"Higher","ES citizen","ES"
1946,0,52,145.88,76.76,36.07,"Only secondary","ES citizen","ES"
1937,0,5,155.59,84.65,34.97,"Kindergarten","ES citizen","ES"
1988,1,12,180.13,81.99,25.27,"Secondary","ES citizen","ES"
1934,0,82,166.05,68.12,24.71,"Only kindergarten","ES citizen","ES"
1984,1,40,173.83,74.06,24.51,"Only primary","ES citizen","ES"
1980,0,13,163.16,81.76,30.71,"Secondary","ES citizen","ES"
2006,1,76,163.79,55.58,20.72,"Only secondary","ES citizen","ES"
1982,1,68,167.46,78.89,28.13,"Only kindergarten","ES citizen","ES"
1988,0,24,162.1,69.03,26.27,"Only primary","ES citizen","ES"
1975,0,83,164.41,101.72,37.63,"Higher","ES citizen","ES"
2013,1,30,171.86,79.22,26.82,"Only secondary","ES citizen","ES"
1938,1,83,179.89,64.8,20.02,"Only primary","ES citizen","ES"
1952,1,18,184.1,83.56,24.65,"Secondary","non-ES citizen","ES"
2011,0,10,159.58,65.76,25.82,"Primary","ES citizen","ES"
1991,1,7,174.62,63.94,20.97,"Primary","ES citizen","ES"
1932,0,35,156.42,87.2,35.64,"Only kindergarten","ES citizen","ES"
2005,0,55,168.69,82.08,28.84,"Higher","ES citizen","ES"
2020,1,53,170.21,63.41,21.89,"Higher","ES citizen","ES"
2004,1,19,172.01,55.02,18.6,"Only secondary","ES citizen","ES"
2000,0,87,159.09,78.78,31.13,"Only secondary","ES citizen","ES"
1926,0,72,152.79,77.98,33.4,"Only kindergarten","ES citizen","ES"
1983,1,100,181.92,77.47,23.41,"Only secondary","ES citizen","ES"
2004,0,11,136.36,86.48,46.51,"Primary","ES citizen","ES"
1950,0,9,157,54.61,22.16,"Primary","ES citizen","ES"
2000,1,66,184.89,75.19,22,"Only primary","ES citizen","ES"
2009,0,31,165.07,72.7,26.68,"Only secondary","ES citizen","ES"
1952,0,80,168.55,76.66,26.98,"Higher","ES citizen","ES"
2022,0,20,162.28,79.25,30.09,"Higher","non-ES citizen","ES"
1969,1,52,176.48,48.76,15.66,"Higher","ES citizen","ES"
1961,1,62,165.38,55.87,20.43,"Higher","ES citizen","ES"
1935,0,88,155.61,65.66,27.12,"Only secondary","ES citizen","ES"
1991,1,93,169.61,73.65,25.6,"Higher","ES citizen","ES"
1993,0,47,174.58,81.2,26.64,"Only secondary","ES citizen","ES"
1927,1,48,167.67,54.16,19.26,"Higher","ES citizen","ES"
1973,0,26,161.98,67.56,25.75,"Only kindergarten","ES citizen","ES"
1955,0,9,163.71,83.12,31.01,"Primary","ES citizen","ES"
2001,0,16,166.31,97.72,35.33,"Secondary","ES citizen","ES"
2006,0,83,168.91,75.32,26.4,"Higher","ES citizen","ES"
1978,1,14,170.15,72.53,25.05,"Secondary","ES citizen","ES"
2009,1,7,173.88,64.78,21.43,"Primary","ES citizen","ES"
1986,1,43,182.31,61.34,18.46,"Only secondary","non-ES citizen","ES"
2020,1,97,171.91,81.65,27.63,"Only primary","non-ES citizen","ES"
1954,1,20,173.02,81.71,27.29,"Only secondary","ES citizen","ES"
2022,1,83,165.5,66.56,24.3,"Only primary","non-ES citizen","ES"
2016,1,82,171.53,70.02,23.8,"Only kindergarten","ES citizen","ES"
1951,0,11,156.34,84.55,34.59,"Primary","ES citizen","ES"
1964,1,21,171.42,74.32,25.29,"Higher","ES citizen","ES"
1938,0,8,161.02,80.86,31.19,"Primary","ES citizen","ES"
1943,0,50,167.06,88.52,31.72,"Only secondary","ES citizen","ES"
1971,0,71,154.65,53.63,22.42,"Only primary","ES citizen","ES"
1941,1,20,174.5,67.56,22.19,"Higher","ES citizen","ES"
1975,1,35,176.15,78.78,25.39,"Higher","non-ES citizen","ES"
2011,0,32,175.19,84.63,27.57,"Higher","ES citizen","ES"
1984,1,70,176.19,66.61,21.46,"Higher","ES citizen","ES"
2012,1,62,174.79,65.05,21.29,"Only kindergarten","ES citizen","ES"
1974,1,37,181.53,76.69,23.27,"Only secondary","ES citizen","ES"
2009,0,69,165.58,67.27,24.54,"Only secondary","ES citizen","ES"
1984,1,16,165.16,72.24,26.48,"Secondary","ES citizen","ES"
2010,0,59,155.47,92.05,38.08,"Only primary","ES citizen","ES"
2001,0,97,155.68,79.84,32.94,"Only secondary","non-ES citizen","ES"
1951,1,40,178.31,82.94,26.09,"Only primary","ES citizen","ES"
1954,0,86,167.46,52.95,18.88,"Higher","ES citizen","ES"
2013,0,72,157.71,80.93,32.54,"Higher","ES citizen","ES"
1937,0,66,166.73,73.21,26.34,"Only primary","ES citizen","ES"
1976,0,48,162.11,78.27,29.78,"Only primary","ES citizen","ES"
1940,1,42,169.07,77.86,27.24,"Only primary","ES citizen","ES"
1934,1,50,178.58,59.77,18.74,"Higher","non-ES citizen","ES"
2007,1,32,176.25,61.39,19.76,"Higher","ES citizen","ES"
2007,1,75,189.42,89.19,24.86,"Only primary","ES citizen","ES"
2015,1,67,176.01,77.01,24.86,"Only secondary","ES citizen","ES"
2016,0,95,159.47,78.58,30.9,"Only primary","ES citizen","ES"
2013,1,85,176.26,73.16,23.55,"Only primary","ES citizen","ES"
1989,0,60,150.89,59.61,26.18,"Only secondary","ES citizen","ES"
1990,0,29,149.78,83.31,37.14,"Only secondary","ES citizen","ES"
1965,1,37,183.7,66.5,19.71,"Higher","ES citizen","ES"
1967,1,33,173.67,74.43,24.68,"Only primary","ES citizen","ES"
1956,0,77,172.91,82.2,27.49,"Only secondary","ES citizen","ES"
1965,0,10,166.17,77.11,27.93,"Primary","ES citizen","ES"
1962,0,89,152.66,76.51,32.83,"Only primary","ES citizen","ES"
1999,0,45,164.62,61.35,22.64,"Only kindergarten","ES citizen","ES"
2009,0,95,158.8,73.83,29.28,"Only kindergarten","non-ES citizen","ES"
1996,0,78,162.8,88.45,33.37,"Higher","ES citizen","ES"
2009,1,19,170.57,61.07,20.99,"Higher","ES citizen","ES"
1996,1,98,172.03,65.22,22.04,"Higher","ES citizen","ES"
1980,0,82,161.79,76.59,29.26,"Higher","ES citizen","ES"
2002,0,45,170.6,78.76,27.06,"Higher","ES citizen","ES"
2003,1,12,179.48,55.33,17.18,"Secondary","ES citizen","ES"
1954,0,66,166.63,87.08,31.36,"Higher","ES citizen","ES"
1937,0,94,178.52,74.1,23.25,"Only primary","ES citizen","ES"
2021,0,66,147.86,85.59,39.15,"Higher","ES citizen","ES"
2011,1,28,165.51,51.91,18.95,"Only primary","ES citizen","ES"
1991,1,75,179.96,56.78,17.53,"Only primary","ES citizen","ES"
1994,1,8,165.29,68.89,25.22,"Primary","ES citizen","ES"
1934,0,24,156.67,87.46,35.63,"Higher","non-ES citizen","ES"
1945,0,96,155.25,86.81,36.02,"Only secondary","ES citizen","ES"
1968,1,41,194,80.27,21.33,"Higher","non-ES citizen","ES"
1958,0,87,167.82,75.09,26.66,"Higher","ES citizen","ES"
1972,0,73,160.46,81.38,31.61,"Higher","ES citizen","ES"
2018,0,8,158.97,78.37,31.01,"Primary","non-ES citizen","ES"
1947,1,81,156.83,67.57,27.47,"Higher","ES citizen","ES"
1955,1,64,171.57,59.08,20.07,"Only kindergarten","ES citizen","ES"
1961,0,14,160.12,71.59,27.92,"Secondary","ES citizen","ES"
1988,0,81,159.52,66.95,26.31,"Only primary","non-ES citizen","ES"
1951,1,10,176.25,76.85,24.74,"Primary","ES citizen","ES"
1970,0,89,154.34,80.39,33.75,"Only kindergarten","ES citizen","ES"
1936,0,76,157.86,70.21,28.17,"Higher","ES citizen","ES"
1994,0,1,155.44,81.82,33.86,"None","ES citizen","ES"
2008,0,17,155.86,67.05,27.6,"None","ES citizen","ES"
1976,1,96,176.46,73.23,23.52,"Higher","ES citizen","ES"
1959,1,89,173.78,59.24,19.62,"Only secondary","ES citizen","ES"
1971,1,100,162.75,59.07,22.3,"Higher","ES citizen","ES"
1952,1,9,169.61,73.58,25.58,"Primary","ES citizen","ES"
1937,0,34,166.45,94.69,34.18,"Only kindergarten","ES citizen","ES"
1983,0,12,144.64,71.37,34.11,"Secondary","ES citizen","ES"
1978,1,45,172.24,74.91,25.25,"Higher","ES citizen","ES"
1926,0,62,169.05,61.29,21.45,"Only primary","ES citizen","ES"
1951,0,67,169.67,72.35,25.13,"Only primary","ES citizen","ES"
1940,1,20,165.27,50.06,18.33,"Only kindergarten","ES citizen","ES"
2001,0,90,161.28,82.38,31.67,"Only secondary","ES citizen","ES"
1969,0,85,161.58,71.98,27.57,"Only kindergarten","ES citizen","ES"
1928,0,47,158.37,82.04,32.71,"Only secondary","ES citizen","ES"
2006,0,26,164.25,95.41,35.37,"Only secondary","ES citizen","ES"
2006,1,63,182.01,63.06,19.04,"Only primary","ES citizen","ES"
2008,1,95,175.86,85.27,27.57,"Higher","ES citizen","ES"
1967,1,82,166.66,62.94,22.66,"Higher","ES citizen","ES"
1959,0,55,171.83,84.39,28.58,"Only secondary","ES citizen","ES"
1948,0,85,155.4,76.39,31.63,"Only primary","non-ES citizen","ES"
1927,1,67,176.66,69.1,22.14,"Higher","non-ES citizen","ES"
1956,1,64,176.6,75.55,24.22,"Only primary","ES citizen","ES"
1927,1,59,170.64,66.12,22.71,"Only kindergarten","non-ES citizen","ES"
1950,1,76,178.18,65.45,20.62,"Higher","ES citizen","ES"
1929,0,40,157.63,66.41,26.73,"Only secondary","ES citizen","ES"
1967,0,70,171.79,76.33,25.86,"Only secondary","ES citizen","ES"
1944,1,86,182.38,70.98,21.34,"Only primary","ES citizen","ES"
1925,1,79,174.45,62.11,20.41,"Only secondary","ES citizen","ES"
1989,0,40,162.29,58.04,22.04,"Only primary","ES citizen","ES"
1998,0,86,161.72,89.79,34.33,"Only primary","non-ES citizen","ES"
1975,0,37,169.49,85.59,29.79,"Only secondary","non-ES citizen","ES"
1941,1,65,169.66,58.54,20.34,"Only primary","non-ES citizen","ES"
1947,1,83,165.99,57.77,20.97,"Higher","ES citizen","ES"
2025,0,29,164.59,75.42,27.84,"Only secondary","ES citizen","ES"
1946,0,75,161.44,93.16,35.74,"Only kindergarten","ES citizen","ES"
1994,1,34,162.97,54.16,20.39,"Higher","non-ES citizen","ES"
1998,0,77,156.35,84.38,34.52,"Only secondary","ES citizen","ES"
2011,0,76,167.64,81.09,28.85,"Higher","ES citizen","ES"
1957,1,70,172.15,79.33,26.77,"Only secondary","ES citizen","ES"
2012,0,75,153.1,66.72,28.46,"Higher","ES citizen","ES"
1951,1,99,172.81,66.32,22.21,"Only kindergarten","ES citizen","ES"
2021,0,24,157.87,76.86,30.84,"Only primary","ES citizen","ES"
2003,1,36,174.54,79.7,26.16,"Only kindergarten","ES citizen","ES"
1983,0,4,156.89,72.37,29.4,"Kindergarten","ES citizen","ES"
2015,0,87,175.88,78.07,25.24,"Only secondary","ES citizen","ES"
1942,0,83,164.18,80.95,30.03,"Only kindergarten","ES citizen","ES"
1968,1,5,170.71,64.26,22.05,"Kindergarten","ES citizen","ES"
2007,0,96,163.97,87.12,32.4,"Only primary","ES citizen","ES"
1970,0,10,152.54,82.09,35.28,"Primary","non-ES citizen","ES"
2018,0,53,164.97,90.69,33.32,"Higher","ES citizen","ES"
2003,0,47,155.62,88.43,36.51,"Higher","ES citizen","ES"
